id,lifeSat,age,emplStat55,healthSat,livtog
17301,7,56,1,5,1
17301,5,57,1,4,1
17301,7,58,1,7,1
17301,7,59,1,6,1
17301,7,60,1,6,1
17501,4,55,1,3,1
17501,9,56,1,4,1
17501,5,57,1,3,1
17501,6,58,1,4,1
17501,8,59,1,4,1
17501,8,60,1,4,1
17601,9,55,1,5,1
17601,9,56,1,4,1
17601,9,57,1,3,1
17601,10,58,1,5,1
17601,9,59,1,3,1
17601,9,60,1,3,1
17701,5,55,1,6,1
17701,5,56,1,3,1
17701,5,57,1,5,1
17701,8,58,1,2,1
17901,8,55,1,7,1
17901,7,56,1,6,1
17901,6,57,1,3,1
17901,7,58,1,7,1
18501,9,55,1,6,1
18501,9,56,1,9,1
18501,10,57,1,7,1
18501,8,58,1,6,1
18501,9,59,1,8,1
18501,9,60,1,6,1
18601,7,55,1,7,1
18601,7,56,1,8,1
18601,8,57,1,7,1
18601,7,58,1,7,1
18601,8,59,1,8,1
18601,9,60,1,10,1
18801,6,55,3,2,1
18801,7,56,3,7,1
18801,7,57,3,5,1
18801,7,58,3,7,1
18801,8,59,3,8,1
18801,7,60,3,5,1
19001,8,55,2,9,0
19001,7,56,2,9,0
19001,8,57,2,9,0
19001,7,58,2,9,0
19001,8,59,2,6,0
19001,7,60,2,7,0
19502,5,55,2,5,0
19502,5,56,2,5,0
19502,7,57,2,5,0
19502,8,58,2,5,0
20201,8,55,3,8,1
20201,7,56,3,4,1
20201,7,57,3,4,1
20201,7,58,3,5,1
20201,8,59,3,8,1
20201,8,60,3,6,1
20202,9,55,2,8,1
20202,9,56,2,8,1
20202,9,57,2,9,1
20202,8,58,2,5,1
20202,9,59,2,7,1
20202,8,60,2,5,1
21201,8,55,2,8,0
21201,7,56,2,8,0
21201,7,57,2,8,0
21201,7,58,2,8,0
21201,8,59,2,8,0
21201,9,60,2,8,1
21301,4,55,1,1,1
21301,5,56,1,2,1
21301,3,57,1,1,1
21301,3,58,1,0,1
21301,2,59,1,0,1
21301,4,60,1,1,1
22501,5,55,2,8,1
22501,0,57,2,10,1
22501,7,58,2,10,1
22501,2,59,2,8,1
22501,4,60,2,7,1
23201,1,55,2,10,0
23201,3,56,2,4,0
23201,5,57,2,4,0
23201,3,58,2,6,0
23201,6,60,2,5,0
23501,5,55,2,5,1
23501,5,56,2,5,1
23501,5,57,2,5,1
23501,4,58,2,5,1
23501,4,59,2,5,0
23701,10,55,1,8,0
23701,5,56,1,7,0
23701,7,57,1,7,0
23701,8,58,1,7,0
23701,9,59,1,9,0
24201,10,55,1,8,1
24201,10,56,1,7,1
24201,10,57,1,8,1
24201,7,58,1,5,1
24201,10,59,1,5,1
24201,8,60,1,5,1
24302,8,55,1,5,1
24302,6,56,1,6,1
24302,6,57,1,5,1
24302,8,58,1,5,1
24302,9,59,1,6,1
25601,8,55,1,5,1
25601,8,56,1,7,1
25601,8,57,1,5,1
25601,7,58,1,6,1
25601,8,59,1,5,1
25601,4,60,1,7,1
25801,10,55,1,6,1
25801,10,56,1,5,1
25801,8,57,1,4,1
25801,9,58,1,8,1
25801,10,59,1,6,1
25801,8,60,1,6,1
26001,8,55,1,10,1
26001,9,56,1,9,1
26001,8,57,1,8,1
